North,East,Down,Yaw
10,10,-20,0
11.6001,11.1909,-19.8542,0.243163
12.8143,12.7792,-19.7984,3.35487
14.1464,14.2449,-19.5203,6.14504
15.4785,15.7106,-19.2423,6.14504
16.8106,17.1762,-18.9642,6.14504
18.1427,18.6419,-18.6861,6.14504
20.1089,18.335,-18.4865,5.43148
22.0751,18.0282,-18.2868,5.43148
20.4211,16.9285,-18.5215,0
18.7672,15.8289,-18.7562,0
17.1132,14.7292,-18.9908,0
15.4592,13.6295,-19.2255,0
17.3643,13.2009,-18.7936,5.70447
19.2695,12.7722,-18.3616,5.70447
20.9958,13.7819,-18.3842,0.920413
22.7221,14.7916,-18.4067,0.920413
24.4483,15.8013,-18.4293,0.920413
26.1746,16.811,-18.4518,0.920413
24.2572,16.4623,-18.0023,0.0286353
25.8139,17.6712,-17.6628,0.57775
23.907,17.162,-17.3393,0.0286353
22.0002,16.6528,-17.0159,0.0286353
20.0933,16.1436,-16.6924,0.0286353
18.1864,15.6344,-16.369,0.0286353
19.6369,16.6799,-17.2651,0.025146
17.8558,15.9544,-16.7162,0.0286353
19.3655,16.956,-17.5634,0.025146
17.6755,16.1198,-16.8965,0.0286353
19.2154,17.0973,-17.717,0.025146
17.5796,16.2053,-16.99,0.0286353
19.135,17.1699,-17.7964,0.025146
17.5893,15.9568,-18.1692,0
16.0436,14.7436,-18.5421,0
14.4979,13.5304,-18.915,0
12.9522,12.3172,-19.2878,0
14.7251,13.2429,-19.2764,0.920413
13.0891,12.1201,-19.5269,0
14.858,13.0531,-19.5073,0.920413
13.1709,11.9928,-19.6784,0
14.9373,12.9303,-19.6535,0.920413
13.2206,11.9114,-19.774,0
14.9855,12.8517,-19.7458,0.920413
13.2511,11.8597,-19.8343,0
15.015,12.8019,-19.804,0.920413
13.2701,11.827,-19.8722,0
15.0333,12.7703,-19.8407,0.920413
13.2819,11.8063,-19.8961,0
15.0448,12.7503,-19.8638,0.920413
13.2893,11.7932,-19.9112,0
15.0519,12.7377,-19.8783,0.920413
13.2939,11.785,-19.9207,0
15.0564,12.7298,-19.8875,0.920413
13.2968,11.7798,-19.9266,0
15.0592,12.7248,-19.8932,0.920413
13.2986,11.7766,-19.9304,0
15.0609,12.7216,-19.8969,0.920413
16.3696,13.8812,-18.9259,0.11207
17.6782,15.0409,-17.9549,0.11207
18.9868,16.2005,-16.9839,0.11207
20.2954,17.3601,-16.0129,0.11207
18.4964,16.4887,-15.9478,0.0286353
19.9573,17.6193,-15.1814,0.11207
21.6121,18.723,-14.9722,0.57775
23.2669,19.8266,-14.763,0.57775
21.5677,18.7939,-14.9787,0.0286353
23.2244,19.8946,-14.7691,0.57775
21.5338,18.8478,-14.9836,0.0286353
23.1919,19.9463,-14.7739,0.57775
21.5078,18.8889,-14.9874,0.0286353
23.167,19.9856,-14.7775,0.57775
21.4879,18.9202,-14.9903,0.0286353
23.148,20.0156,-14.7803,0.57775
21.4727,18.944,-14.9925,0.0286353
23.1334,20.0384,-14.7824,0.57775
21.4611,18.9621,-14.9942,0.0286353
23.1223,20.0558,-14.784,0.57775
21.4522,18.9759,-14.9955,0.0286353
23.1138,20.069,-14.7852,0.57775
21.4455,18.9865,-14.9964,0.0286353
23.1074,20.0791,-14.7862,0.57775
21.4403,18.9945,-14.9972,0.0286353
23.1024,20.0868,-14.7869,0.57775
21.4364,19.0006,-14.9978,0.0286353
23.0987,20.0927,-14.7874,0.57775
21.4334,19.0053,-14.9982,0.0286353
23.0958,20.0971,-14.7878,0.57775
21.4311,19.0088,-14.9985,0.0286353
23.0936,20.1005,-14.7882,0.57775
21.4294,19.0115,-14.9988,0.0286353
23.0919,20.1031,-14.7884,0.57775
21.428,19.0136,-14.999,0.0286353
23.0907,20.1051,-14.7886,0.57775
21.427,19.0152,-14.9991,0.0286353
23.0897,20.1066,-14.7887,0.57775
21.4262,19.0164,-14.9992,0.0286353
23.0889,20.1078,-14.7888,0.57775
21.4256,19.0173,-14.9993,0.0286353
23.0884,20.1086,-14.7889,0.57775
21.4252,19.018,-14.9994,0.0286353
23.088,20.1093,-14.789,0.57775
21.4249,19.0185,-14.9994,0.0286353
23.0876,20.1098,-14.789,0.57775
21.4246,19.0189,-14.9995,0.0286353
23.0874,20.1102,-14.7891,0.57775
21.4244,19.0192,-14.9995,0.0286353
23.0872,20.1105,-14.7891,0.57775
21.4242,19.0195,-14.9995,0.0286353
23.087,20.1107,-14.7891,0.57775
21.4241,19.0196,-14.9995,0.0286353
23.0869,20.1109,-14.7891,0.57775
21.424,19.0198,-14.9995,0.0286353
23.0868,20.111,-14.7891,0.57775
21.424,19.0199,-14.9996,0.0286353
23.0868,20.1111,-14.7891,0.57775
21.4239,19.02,-14.9996,0.0286353
23.0867,20.1112,-14.7892,0.57775
21.4239,19.02,-14.9996,0.0286353
23.0867,20.1113,-14.7892,0.57775
21.4239,19.0201,-14.9996,0.0286353
23.0867,20.1113,-14.7892,0.57775
21.4238,19.0201,-14.9996,0.0286353
23.0866,20.1113,-14.7892,0.57775
21.4238,19.0201,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
23.0866,20.1114,-14.7892,0.57775
21.4238,19.0202,-14.9996,0.0286353
